alias,first_author,group,group_start,number_authors,sdi,times_cited,journal,pub_year,velocity,grant_product,Unknown,BIOLOGY,MATHEMATICAL & COMPUTATIONAL BIOLOGY,STATISTICS & PROBABILITY,"ENGINEERING, ELECTRICAL & ELECTRONIC","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",ROBOTICS,TELECOMMUNICATIONS,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",AUTOMATION & CONTROL SYSTEMS,MULTIDISCIPLINARY SCIENCES,PHARMACOLOGY & PHARMACY,CELL BIOLOGY,"COMPUTER SCIENCE, CYBERNETICS",NEUROSCIENCES,MATHEMATICS,ENVIRONMENTAL STUDIES,PLANNING & DEVELOPMENT,HISTORY,LAW,ENERGY & FUELS,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,POLITICAL SCIENCE,OBSTETRICS & GYNECOLOGY,REPRODUCTIVE BIOLOGY,ETHICS,MEDICAL ETHICS,SOCIAL ISSUES,"SOCIAL SCIENCES, BIOMEDICAL",INTERNATIONAL RELATIONS,ENVIRONMENTAL SCIENCES,REHABILITATION,"SOCIAL SCIENCES, INTERDISCIPLINARY",PUBLIC ADMINISTRATION,MANAGEMENT,"ENGINEERING, ENVIRONMENTAL",METEOROLOGY & ATMOSPHERIC SCIENCES,ECONOMICS,THERMODYNAMICS,SOCIOLOGY,"PHYSICS, APPLIED","MATERIALS SCIENCE, MULTIDISCIPLINARY",NANOSCIENCE & NANOTECHNOLOGY,CRYSTALLOGRAPHY,"PHYSICS, CONDENSED MATTER","CHEMISTRY, MULTIDISCIPLINARY",OPTICS,INSTRUMENTS & INSTRUMENTATION,BIOCHEMISTRY & MOLECULAR BIOLOGY,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE","COMPUTER SCIENCE, INFORMATION SYSTEMS","COMPUTER SCIENCE, THEORY & METHODS","EDUCATION, SCIENTIFIC DISCIPLINES","PHYSICS, MULTIDISCIPLINARY","CHEMISTRY, PHYSICAL",POLYMER SCIENCE,"CHEMISTRY, ORGANIC","PHYSICS, ATOMIC, MOLECULAR & CHEMICAL","MEDICINE, RESEARCH & EXPERIMENTAL",BIOTECHNOLOGY & APPLIED MICROBIOLOGY,CELL & TISSUE ENGINEERING,HEMATOLOGY,ONCOLOGY,GENETICS & HEREDITY,TOXICOLOGY,BIOCHEMICAL RESEARCH METHODS,"CHEMISTRY, ANALYTICAL","MEDICINE, GENERAL & INTERNAL",ELECTROCHEMISTRY,SPECTROSCOPY,"GEOSCIENCES, MULTIDISCIPLINARY",AGRICULTURAL ENGINEERING,ASTRONOMY & ASTROPHYSICS,MARINE & FRESHWATER BIOLOGY,ECOLOGY,MICROBIOLOGY,OCEANOGRAPHY,"ENGINEERING, BIOMEDICAL","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",FISHERIES,PLANT SCIENCES,"ENGINEERING, CHEMICAL",BIOPHYSICS,DEVELOPMENTAL BIOLOGY,EVOLUTIONARY BIOLOGY,MYCOLOGY,RESPIRATORY SYSTEM,PHYSIOLOGY,SPORT SCIENCES,"ENGINEERING, MECHANICAL","MATERIALS SCIENCE, BIOMATERIALS","CHEMISTRY, MEDICINAL",PEDIATRICS,MECHANICS,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",TRANSPORTATION,GEOGRAPHY,"ENGINEERING, CIVIL",TRANSPORTATION SCIENCE & TECHNOLOGY,URBAN STUDIES,CONSTRUCTION & BUILDING TECHNOLOGY,OPHTHALMOLOGY,"PSYCHOLOGY, APPLIED","GEOGRAPHY, PHYSICAL",FORESTRY,BIODIVERSITY CONSERVATION,WATER RESOURCES,"PHYSICS, MATHEMATICAL","MATHEMATICS, APPLIED","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","PHYSICS, FLUIDS & PLASMAS",METALLURGY & METALLURGICAL ENGINEERING,"MATERIALS SCIENCE, COATINGS & FILMS",IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,REMOTE SENSING,AGRONOMY,LIMNOLOGY,"PSYCHOLOGY, MULTIDISCIPLINARY",ENDOCRINOLOGY & METABOLISM,"CHEMISTRY, INORGANIC & NUCLEAR","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SOCIAL SCIENCES, MATHEMATICAL METHODS",FAMILY STUDIES,HEALTH CARE SCIENCES & SERVICES,MEDICAL INFORMATICS,PSYCHOLOGY,"PSYCHOLOGY, SOCIAL",ERGONOMICS,AGRICULTURAL ECONOMICS & POLICY,"BUSINESS, FINANCE",BUSINESS,"DENTISTRY, ORAL SURGERY & MEDICINE",OPERATIONS RESEARCH & MANAGEMENT SCIENCE,"ENGINEERING, INDUSTRIAL","ENGINEERING, MULTIDISCIPLINARY","MATERIALS SCIENCE, CERAMICS",GEOCHEMISTRY & GEOPHYSICS,"AGRICULTURE, MULTIDISCIPLINARY",VETERINARY SCIENCES,GEOLOGY,ZOOLOGY,INDUSTRIAL RELATIONS & LABOR,"ENGINEERING, MANUFACTURING","MATERIALS SCIENCE, COMPOSITES",NUCLEAR SCIENCE & TECHNOLOGY,IMMUNOLOGY,ANATOMY & MORPHOLOGY,ACOUSTICS,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",PALEONTOLOGY,PATHOLOGY,ORTHOPEDICS,SURGERY,UROLOGY & NEPHROLOGY,CRITICAL CARE MEDICINE,EMERGENCY MEDICINE,DERMATOLOGY,NUTRITION & DIETETICS,INFECTIOUS DISEASES,RHEUMATOLOGY,FOOD SCIENCE & TECHNOLOGY,"CHEMISTRY, APPLIED",TROPICAL MEDICINE,PERIPHERAL VASCULAR DISEASE,CLINICAL NEUROLOGY,GASTROENTEROLOGY & HEPATOLOGY,ANESTHESIOLOGY,SOIL SCIENCE,"MATERIALS SCIENCE, TEXTILES",NEUROIMAGING,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",ALLERGY,"EDUCATION, SPECIAL","PSYCHOLOGY, DEVELOPMENTAL",EDUCATION & EDUCATIONAL RESEARCH,"PSYCHOLOGY, EDUCATIONAL","HUMANITIES, MULTIDISCIPLINARY",MINERALOGY,GERIATRICS & GERONTOLOGY,TRANSPLANTATION,AREA STUDIES,"ENGINEERING, AEROSPACE",MEDICAL LABORATORY TECHNOLOGY,CARDIAC & CARDIOVASCULAR SYSTEMS,"PSYCHOLOGY, CLINICAL",MICROSCOPY,"HOSPITALITY, LEISURE, SPORT & TOURISM","PSYCHOLOGY, MATHEMATICAL",HISTORY & PHILOSOPHY OF SCIENCE,PHILOSOPHY,HEALTH POLICY & SERVICES,NURSING,PSYCHIATRY,SUBSTANCE ABUSE,GERONTOLOGY,DEMOGRAPHY,SOCIAL WORK,WOMENS STUDIES,BEHAVIORAL SCIENCES,CULTURAL STUDIES,"MATERIALS SCIENCE, PAPER & WOOD",COMMUNICATION,ENTOMOLOGY,OTORHINOLARYNGOLOGY,"PHYSICS, NUCLEAR","PHYSICS, PARTICLES & FIELDS",ANDROLOGY,"ENGINEERING, OCEAN",ANTHROPOLOGY,ARCHAEOLOGY,HORTICULTURE,"PSYCHOLOGY, BIOLOGICAL",VIROLOGY,"PSYCHOLOGY, EXPERIMENTAL",MINING & MINERAL PROCESSING,ART,INFORMATION SCIENCE & LIBRARY SCIENCE,"ENGINEERING, GEOLOGICAL","ENGINEERING, MARINE",AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,LINGUISTICS,PRIMARY HEALTH CARE,"ENGINEERING, PETROLEUM","FILM, RADIO, TELEVISION",ETHNIC STUDIES,ARCHITECTURE,CRIMINOLOGY & PENOLOGY,"MEDICINE, LEGAL",PARASITOLOGY,ORNITHOLOGY,INTEGRATIVE & COMPLEMENTARY MEDICINE,THEATER,RELIGION,HISTORY OF SOCIAL SCIENCES,LITERATURE,LOGIC,LANGUAGE & LINGUISTICS,LITERARY THEORY & CRITICISM,LITERARY REVIEWS,FOLKLORE,CLASSICS,MUSIC,MEDIEVAL & RENAISSANCE STUDIES
T1408,FALSE,C,2009,4,0.164392857,220,APPL. PHYS. LETT.,2006,18.33333333,Pre,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7,5,,8,5,,,,,,,,1,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1432,FALSE,C,2009,5,0.196691176,530,ADV. FUNCT. MATER.,2008,53,Pre,,,,,,,,,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,24,16,11,,16,12,,,,,,,,,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1016,FALSE,B,2007,5,0.35851087,2,BIOTECHNOL. BIOENG.,2017,2,Post,10,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,3,,,,,2,,,,,,,,,,1,,,4,,,,,,,,,,,24,,,,,,,1,,,,,16,,,,4,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T677,FALSE,ERROR,ERROR,8,0.193215385,22,APPL. PHYS. LETT.,2015,7.333333333,ERROR,1,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,11,6,,12,1,,,,,,,,5,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T472,TRUE,C,2009,3,0.186842105,9,J. AM. CERAM. SOC.,2014,2.25,Post,13,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,1,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T477,FALSE,C,2009,7,0.426572581,8,MECH. MATER.,2016,4,Post,7,,,,,,,,,,1,,,,,,,,,,7,4,,,,,,,,,,,,,,,,,3,,,10,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,10,,,,3,,,7,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1853,FALSE,C,2009,4,0.1885,52,J. APPL. PHYS.,2007,4.727272727,Pre,6,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17,2,,10,1,4,,,,,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1913,FALSE,C,2009,4,0.206350515,39,THIN SOLID FILMS,2010,4.875,Post,9,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17,5,,13,6,2,,,,,,1,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1457,FALSE,E,2011,3,0.531862069,2,J. OPT. SOC. AM. B-OPT. PHYS.,2012,0.333333333,Post,10,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,15,8,,15,9,7,,,,,,,2,15,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2248,FALSE,C,2009,5,0.497682927,240,PHYS. FLUIDS,2006,20,Pre,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,,,2,4,,,,,,,,12,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,13,,,,,,,,,,,,,,1,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T444,FALSE,C,2009,4,0.527262911,23,INT. J. HEAT MASS TRANSF.,2014,5.75,Post,6,,,,,1,,,,1,1,,,1,,,,,,,4,2,,,,,,,,,,,,,,,,,5,,8,8,2,,1,,1,,,,,,,1,2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,6,,,,2,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T19,FALSE,D,2010,3,0.329046875,8,CAN. J. FOR. RES.-REV. CAN. RECH. FOR.,2011,1.142857143,Post,24,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3146,FALSE,D,2010,7,0.302121622,12,FOR. ECOL. MANAGE.,2014,3,Post,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,12,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,19,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T106,FALSE,A,2011,10,0,0,NEUROLOGY,2012,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3303,FALSE,C,2009,6,0.197,93,APPL. PHYS. LETT.,2006,7.75,Pre,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11,6,,8,10,,,,,,,,,10,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1711,FALSE,ERROR,ERROR,8,0.3609375,0,J. CHEM. PHYS.,2017,0,ERROR,3,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,3,1,17,3,1,,,,,,,5,7,,,3,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T960,FALSE,C,2009,8,0.118714286,7,APPL. PHYS. LETT.,2013,1.4,Post,1,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,21,2,2,1,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T616,FALSE,D,2010,2,0.600410112,1,COAST. MANAGE.,2014,0.25,Post,14,,,,,,,,,,7,,2,,,,1,,,,,,1,,,,,1,,,14,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,12,15,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2395,FALSE,B,2007,2,0,0,FASEB J.,2010,0,Post,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2960,FALSE,B,2007,7,0.822176056,0,BIOL. RES. NURS.,2016,0,Post,7,,,,,,,,,,2,3,2,,34,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,1,1,,8,19,1,3,1,,2,,,,,,,,,,,5,,,,,,,,,2,,,,,9,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,2,1,,,1,,1,,,,,,,,9,,,,,4,,,,1,,,,,1,,,,,,1,,,,,,,4,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1450,TRUE,E,2011,2,0.204509615,72,LANGMUIR,2012,12,Post,1,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,18,13,,9,20,1,,1,,,,,1,21,,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T116,FALSE,ERROR,ERROR,6,0.478568807,4,AM. J. PUBLIC HEALTH,2015,1.333333333,ERROR,15,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,10,,1,,1,1,1,,,,,,,,,,,,2,,,,,,,,,,1,,,,1,,7,,,6,,,,,,,,,,,,,,,,,,,4,,,,,,1,,26,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6,,,1,,,9,,,,,,,,,,,,,,,1,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T366,TRUE,B,2007,5,0.300486301,2,ADV. MATER. INTERFACES,2017,2,Post,1,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,28,7,,4,23,,3,8,,,,,3,34,4,1,2,1,,,,,,,1,3,,2,,,,,,,,,,,,,,10,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2973,FALSE,ERROR,ERROR,8,0.368986111,0,INT. J. PHOTOENERGY,2015,0,ERROR,12,,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,5,3,,,1,,2,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2306,FALSE,E,2011,6,0.432783333,21,APPL. ENVIRON. MICROBIOL.,2010,2.625,Pre,1,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,5,,,,,,1,,2,,,4,,,,,,,,,,,,,,,,14,,,,,,,3,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,,1,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1736,FALSE,D,2010,3,0.46575463,48,J. AM. WATER RESOUR. ASSOC.,2010,6,Pre,13,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,7,,,,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,3,,,,,,,,,,,,,,,,,,,,,,4,6,,5,,,,1,,,11,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1724,FALSE,C,2009,7,0.232615385,0,J. AM. CHEM. SOC.,2017,0,Post,17,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,20,6,4,4,12,,1,1,,,,,,21,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1944,FALSE,D,2010,3,0.387236559,13,CAN. J. FOR. RES.,2014,3.25,Post,16,,,1,,,,,,,2,,,,,,1,,,,,,1,,,,,,,1,13,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,4,,,,25,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,5,12,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3154,FALSE,ERROR,ERROR,9,0.271851852,0,J. ALLOY. COMPD.,2017,0,ERROR,1,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,7,3,,2,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2533,TRUE,B,2007,4,0.46593038,2,J. BIOMED. MATER. RES. PART A,2013,0.4,Post,4,1,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,1,,,1,2,2,,,,,,,,,,,,,,,,,14,,,,,,,,,,,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,10,11,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3115,FALSE,D,2010,4,0.535114754,3,AQUAT. ECOL.,2013,0.6,Post,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,8,,,,,2,,,,,1,1,,,,2,,,3,,,,,,1,,,,,1,,,,,2,,,,,,,,,12,5,2,2,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2482,FALSE,D,2010,2,0.371882353,0,SCI. TOTAL ENVIRON.,2017,0,Post,7,1,,,1,,,,,,4,1,1,,,,,,,,,,,,,,,,,,19,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,7,1,,,,,,,,5,,2,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
